15	3	5	1.3	20.23	13.64	204	16	soft
15	3	6	1.31	12.52	8.49	204	17.6	soft
15	3	7	1.31	13.45	9.01	204	19.7	soft
15	3	8	1.3	15.59	10.35	204	22	soft
15	3	9	1.28	18.65	11.98	204	23.8	soft
15	4	1	1.3	11.7	8.54	202	\N	hard
11	1	7	1.6	13.5	10.7	203	31	
11	1	8	1.7	14.5	11.5	203	23	
11	1	9	1.7	17.3	13.3	203	12	
11	1	10	1.7	18	14.3	203	36	
11	1	1	195.9	615.5	531.4	201	\N	
11	1	2	192.1	684.3	584.5	201	\N	
11	1	3	169.4	643.5	544.1	201	\N	
11	1	4	195.9	615.5	531.4	202	\N	dublicate record for type=WC
11	1	5	192.1	684.3	584.5	202	\N	dublicate record for type=WC
11	1	6	169.4	643.5	544.1	202	\N	dublicate record for type=WC
11	1	11	1.7	10.2	8.7	205	\N	
11	1	12	1.7	9.8	8.3	205	\N	
13	2	22	101.8	332.9	0	201	\N	1st Extr. of 2nd 3B tube
13	2	23	319	1656.6	0	201	\N	Baggin rest of sample due high organics content
13	2	1	189.4	731.2	0	209	\N	
14	1	1	1.3	11	8.5	202	\N	fine
14	1	2	1.3	7.75	6.58	205	\N	fine
14	1	5	1.29	12.19	9.99	204	16.9	fine
14	1	6	1.29	14.44	11.7	204	18.5	fine
14	1	7	1.3	15.82	12.74	204	20.8	fine
14	1	8	1.29	23.65	18.87	204	22.7	fine
14	1	9	1.32	13.95	11.21	204	24	fine
14	1	3	1.3	8.39	7.13	205	\N	fine
15	4	2	1.3	18.4	12.09	202	\N	hard
15	4	3	1.3	16.5	10.96	202	\N	hard
15	4	4	1.31	6.1	4.63	205	\N	hard
15	4	5	1.22	5.55	4.26	205	\N	hard
15	4	7	1.33	12.82	8.82	204	16.2	hard
15	4	8	1.31	14.11	9.6	204	18.2	hard
15	4	9	1.31	14.18	9.57	204	20.5	hard
15	4	10	1.29	17.55	11.68	204	21.7	hard
15	4	11	1.31	13.72	9.14	204	23.1	hard
15	4	6	1.29	7.07	5.33	205	\N	hard
11	1	13	1.7	11.6	9.9	205	\N	
11	1	14	1.3	12.12	12.06	206	\N	
11	2	14	1.7	6.9	6	205	\N	
12	2	20	700.1	1044.4	0	201	\N	
12	2	8	1.7	28.3	20.5	204	15.6	
12	2	9	1.7	22.6	16.1	204	19.7	
12	2	10	1.7	26.9	19.2	204	18.7	
12	2	11	1.7	27.4	19.2	204	20.2	
12	2	12	1.7	31.9	22.2	204	21.8	
12	2	13	1.7	23.7	16.6	204	22.5	
13	1	21	0	0	0	201	\N	
13	1	10	1.22	24	18.25	204	20.8	
13	1	11	1.21	23.55	17.6	204	23.3	
13	1	12	1.23	22.89	17.01	204	23.9	
13	2	2	1.7	25.2	20	202	\N	WC of 3B_x1
13	2	3	1.7	8.3	7	205	\N	
13	2	4	1.7	9.8	8.4	205	\N	
13	2	5	1.7	9.2	7.9	205	\N	
13	2	12	1.7	19.5	15.9	202	\N	WC of 3B_x3
13	2	13	1.3	21.32	17.44	202	\N	WC of 3B_x4
13	2	14	1.3	11.3	0	202	\N	WC of 3B_x4
13	2	6	1.22	17.37	13.35	204	15.8	
13	2	15	1.31	14.97	11.38	206	\N	
13	2	16	0	0	0	201	\N	
13	2	17	0	0	0	201	\N	
13	2	18	5.6	312.3	0	201	\N	Sample contains a softer
13	2	19	310.5	472.2	0	201	\N	extruded past softer material
13	2	20	23.7	218.6	0	201	\N	extruded past softer material
13	2	21	218.5	454.1	0	201	\N	removing rest of 1st 3B tube
13	2	7	1.32	15.13	11.52	204	20.7	
13	2	8	1.3	15.79	12.2	204	16.8	
13	2	9	1.3	14.42	11.13	204	17.9	
13	2	10	1.31	14.7	11.11	204	21.8	
13	2	11	1.29	14.27	10.73	204	23.1	
